Img_name,Right,Left,Top,Bottom
img14_10_273_309_363_330,602,436,434,383
img14_18_370_200_398_236,61,529,159,598
img15_102_383_261_424_279,510,535,261,441
img15_133_430_246_466_266,404,264,439,293
img15_18_93_86_118_152,291,600,333,143
img15_21_97_17_160_105,503,520,269,549
img15_3_14_273_88_305,362,477,153,396
img15_77_315_288_352_309,500,568,632,266
img15_82_334_312_370_347,320,510,293,259
img15_90_359_272_418_336,489,281,397,492
img1_128_300_511_346_529,369,321,384,496
img1_238_580_445_656_485,341,266,198,348
img1_242_585_485_641_538,485,610,252,347
img1_32_89_284_141_314,296,363,500,258
img1_348_878_481_889_547,437,377,479,475
img1_358_919_496_990_539,73,443,526,413
img1_364_934_515_969_540,82,400,337,408
img2_108_453_314_463_392,395,504,230,420
img2_199_668_464_691_512,467,401,571,510
img2_202_672_287_737_318,284,239,647,484
img2_209_697_344_744_403,40,498,281,507
img2_216_719_579_736_624,251,165,558,11
img2_221_735_348_795_405,531,194,255,360
img2_232_752_269_795_320,472,443,392,48
img2_242_795_347_870_406,16,306,587,409
img2_244_798_290_853_321,746,335,558,632
img2_250_822_574_838_621,12,560,640,299
img2_258_859_689_898_708,39,654,358,261
img2_265_883_712_934_725,718,147,373,450
img2_291_985_435_1023_475,708,363,387,262
img2_307_1030_350_1049_388,302,289,543,554
img2_76_351_490_395_563,371,364,37,284
img3_132_347_574_366_619,489,183,703,43
img3_175_437_86_466_115,263,636,533,440
img3_189_489_231_541_278,275,480,396,318
img3_286_704_52_735_119,339,230,483,355
img3_289_709_215_733_251,313,156,471,188
img3_2_0_531_72_568,500,139,540,480
img3_305_796_214_824_282,521,304,238,41
img3_312_813_522_861_551,486,240,514,490
img3_313_813_156_860_209,226,359,469,510
img3_318_819_593_857_619,259,639,228,131
img3_322_841_553_861_619,257,516,629,35
img3_342_883_577_917_619,430,371,457,588
img3_405_993_336_1041_361,641,447,505,187
img4_0_5_94_72_193,453,382,390,495
img4_22_222_96_260_180,393,231,509,215
img4_2_23_0_121_84,572,373,398,278
img4_42_362_356_392_414,490,397,516,433
img4_58_452_230_484_275,460,223,521,302
img4_61_488_0_573_63,249,529,407,424
img5_19_95_1_164_45,314,536,603,730
img5_20_97_41_162_66,248,344,631,250
img5_39_187_91_248_173,433,359,566,411
img5_51_238_130_291_209,245,407,271,259
img5_76_470_130_523_212,309,243,377,276
img5_78_486_11_515_107,77,367,213,750
img6_37_425_449_472_482,212,346,463,162
img6_86_636_203_687_235,267,344,160,247
img6_98_720_516_809_528,233,546,343,115
img6_9_112_402_173_470,655,222,687,228
img7_11_108_333_150_387,471,200,327,257
img7_17_189_282_211_319,268,411,456,137
img7_3_17_252_42_283,182,320,607,317
img7_43_327_257_349_290,371,667,437,232
img7_4_25_301_40_359,442,377,457,234
img7_70_492_288_508_350,634,269,637,271
img7_76_535_235_627_328,519,98,524,367
img8_102_661_341_710_357,258,410,472,650
img8_111_685_395_753_413,488,230,255,325
img8_117_699_441_726_471,77,624,575,510
img8_1_0_126_43_158,50,568,588,44
img8_26_348_262_400_309,257,340,495,594
img8_2_11_589_37_623,126,453,267,513
img8_30_428_120_514_143,530,403,240,190
img8_32_435_155_502_170,746,575,458,541
img8_66_567_355_633_371,486,298,465,294
img8_7_51_596_104_624,473,424,286,478
img8_83_612_318_667_334,255,437,353,251
img8_98_652_261_706_277,498,245,347,268
img9_57_335_135_369_186,226,67,373,276
img9_59_343_138_360_220,428,293,188,225
img9_63_370_179_424_246,433,343,95,479
