Img_name,Right,Left,Top,Bottom
img10_29_189_176_251_208,168,272,533,319
img14_20_376_298_398_341,154,578,468,376
img15_152_481_266_545_309,519,326,343,468
img15_167_611_165_678_230,580,309,405,310
img15_35_144_242_185_301,500,420,206,377
img15_36_144_69_196_104,336,455,376,478
img15_57_243_317_275_350,477,513,410,189
img15_68_274_67_315_95,213,285,495,594
img15_7_63_145_75_202,307,313,251,666
img15_91_359_192_393_246,319,396,287,166
img2_155_577_307_669_396,526,287,279,287
img2_203_675_525_721_556,486,159,658,188
img2_236_767_460_821_517,222,388,345,72
img2_257_856_290_913_321,142,254,487,555
img2_274_935_314_988_340,144,370,340,453
img2_286_970_562_992_596,607,210,489,475
img2_287_971_619_1013_677,322,204,387,450
img2_299_1003_504_1041_525,523,694,259,284
img2_302_1023_717_1040_757,282,323,363,596
img2_305_1026_219_1062_264,85,468,572,449
img2_313_1046_131_1115_225,389,565,193,198
img3_231_613_478_683_523,301,399,239,429
img3_285_704_88_799_182,551,317,377,379
img3_293_724_173_799_237,378,382,457,471
img3_294_731_1_800_81,446,489,438,394
img3_308_804_0_846_47,382,182,173,313
img3_319_827_0_864_52,419,279,429,581
img3_320_829_101_854_142,366,252,476,382
img3_323_841_489_896_519,445,473,469,227
img3_330_858_499_908_526,724,427,398,483
img3_346_886_576_958_618,318,498,285,231
img3_348_889_0_956_85,233,582,357,99
img3_381_944_570_1013_606,199,535,617,328
img3_391_965_548_1024_574,725,268,453,377
img3_399_981_0_1021_32,574,475,148,345
img3_410_1006_580_1093_613,71,718,146,567
img3_428_1046_373_1100_398,515,315,263,421
img3_439_1064_401_1100_445,432,492,509,578
img4_16_165_282_202_330,287,400,512,644
img4_1_6_391_63_428,299,630,652,502
img4_20_207_365_265_405,292,137,410,425
img4_21_210_144_245_207,339,520,484,533
img4_23_225_164_270_233,424,450,308,617
img4_36_320_293_355_344,288,440,226,590
img4_45_375_336_432_361,425,219,344,322
img4_50_399_318_446_350,562,467,614,416
img4_56_439_330_482_417,377,514,299,355
img4_67_544_337_607_357,534,260,327,472
img4_70_585_290_643_339,322,177,240,398
img5_0_0_343_38_372,78,276,395,291
img5_21_100_229_141_318,308,409,292,437
img5_22_109_145_158_173,294,354,558,663
img5_49_223_248_240_324,213,306,659,360
img5_5_11_407_84_467,332,221,418,318
img5_61_314_350_358_418,323,389,506,554
img5_70_367_340_429_361,276,285,449,485
img5_79_502_310_540_356,332,248,305,215
img5_82_559_141_612_182,503,309,284,394
img5_86_579_334_669_416,386,301,364,305
img5_99_646_324_689_352,245,548,196,194
img6_25_207_397_279_431,44,265,299,308
img6_46_542_92_571_180,589,517,6,3
img6_92_671_517_727_535,412,375,302,439
img6_97_714_17_791_102,444,550,120,272
img7_0_0_359_28_385,521,238,286,457
img7_1_0_279_24_362,465,378,505,483
img7_46_361_271_406_359,458,420,284,341
img7_55_421_291_452_323,490,298,705,409
img7_74_505_271_535_348,498,596,279,312
img7_81_580_296_607_334,323,125,475,193
img7_83_608_320_640_355,346,122,637,501
img7_84_608_206_640_235,274,579,436,685
img8_110_685_452_713_483,579,653,342,451
img8_15_177_372_224_408,622,207,281,749
img8_19_225_319_298_371,266,261,69,658
img8_23_311_285_350_309,491,318,238,226
img8_25_342_133_438_153,753,468,312,236
img8_31_434_253_484_287,302,549,326,522
img8_33_439_279_496_356,567,229,175,298
img8_3_23_468_120_528,217,57,731,510
img8_55_531_90_610_130,508,500,335,536
img8_58_537_119_593_152,650,390,392,502
